mpg,displacement,cylinders,horsepower,weight,acceleration,model_year,origin,car_name,brand
33.7,107.0,4,75.0,2210,14.4,81,Japan,honda prelude,honda
32.4,108.0,4,75.0,2350,16.8,81,Japan,toyota corolla,toyota
32.9,119.0,4,100.0,2615,14.8,81,Japan,datsun 200sx,datsun
31.6,120.0,4,74.0,2635,18.3,81,Japan,mazda 626,mazda
28.1,141.0,4,80.0,3230,20.4,81,Europe,peugeot 505s turbo diesel,peugeot
30.7,145.0,6,76.0,3160,19.6,81,Europe,volvo diesel,volvo
25.4,168.0,6,116.0,2900,12.6,81,Japan,toyota cressida,toyota
24.2,146.0,6,120.0,2930,13.8,81,Japan,datsun 810 maxima,datsun
22.4,231.0,6,110.0,3415,15.8,81,USA,buick century,buick
26.6,350.0,8,105.0,3725,19.0,81,USA,oldsmobile cutlass ls,oldsmobile
20.2,200.0,6,88.0,3060,17.1,81,USA,ford granada gl,ford
17.6,225.0,6,85.0,3465,16.6,81,USA,chrysler lebaron salon,chrysler
28.0,112.0,4,88.0,2605,19.6,82,USA,chevrolet cavalier,chevrolet
27.0,112.0,4,88.0,2640,18.6,82,USA,chevrolet cavalier wagon,chevrolet
34.0,112.0,4,88.0,2395,18.0,82,USA,chevrolet cavalier 2-door,chevrolet
31.0,112.0,4,85.0,2575,16.2,82,USA,pontiac j2000 se hatchback,pontiac
29.0,135.0,4,84.0,2525,16.0,82,USA,dodge aries se,dodge
27.0,151.0,4,90.0,2735,18.0,82,USA,pontiac phoenix,pontiac
24.0,140.0,4,92.0,2865,16.4,82,USA,ford fairmont futura,ford
23.0,151.0,4,93.5,3035,20.5,82,USA,amc concord dl,amc
36.0,105.0,4,74.0,1980,15.3,82,Europe,volkswagen rabbit l,volkswagen
37.0,91.0,4,68.0,2025,18.2,82,Japan,mazda glc custom l,mazda
31.0,91.0,4,68.0,1970,17.6,82,Japan,mazda glc custom,mazda
38.0,105.0,4,63.0,2125,14.7,82,USA,plymouth horizon miser,plymouth
36.0,98.0,4,70.0,2125,17.3,82,USA,mercury lynx l,mercury
36.0,120.0,4,88.0,2160,14.5,82,Japan,nissan stanza xe,nissan
36.0,107.0,4,75.0,2205,14.5,82,Japan,honda accord,honda
34.0,108.0,4,70.0,2245,16.9,82,Japan,toyota corolla,toyota
38.0,91.0,4,67.0,1965,15.0,82,Japan,honda civic,honda
32.0,91.0,4,67.0,1965,15.7,82,Japan,honda civic (auto),honda
38.0,91.0,4,67.0,1995,16.2,82,Japan,datsun 310 gx,datsun
25.0,181.0,6,110.0,2945,16.4,82,USA,buick century limited,buick
38.0,262.0,6,85.0,3015,17.0,82,USA,oldsmobile cutlass ciera (diesel),oldsmobile
26.0,156.0,4,92.0,2585,14.5,82,USA,chrysler lebaron medallion,chrysler
22.0,232.0,6,112.0,2835,14.7,82,USA,ford granada l,ford
32.0,144.0,4,96.0,2665,13.9,82,Japan,toyota celica gt,toyota
36.0,135.0,4,84.0,2370,13.0,82,USA,dodge charger 2.2,dodge
27.0,151.0,4,90.0,2950,17.3,82,USA,chevrolet camaro,chevrolet
27.0,140.0,4,86.0,2790,15.6,82,USA,ford mustang gl,ford
44.0,97.0,4,52.0,2130,24.6,82,Europe,vw pickup,volkswagen
32.0,135.0,4,84.0,2295,11.6,82,USA,dodge rampage,dodge
28.0,120.0,4,79.0,2625,18.6,82,USA,ford ranger,ford
31.0,119.0,4,82.0,2720,19.4,82,USA,chevy s-10,chevrolet
